,Quarter,Tm,Detail,RAM,MIA
0,1.0,Dolphins,Dan Marino 2 yard rush (Uwe von Schamann kick),0,7
1,1.0,Rams,Mike Guman 2 yard pass from Vince Ferragamo (Chuck Nelson kick),7,7
2,2.0,Dolphins,Mark Duper 46 yard pass from Dan Marino (Uwe von Schamann kick),7,14
3,2.0,Rams,Eric Dickerson 2 yard rush (Chuck Nelson kick),14,14
4,3.0,Dolphins,Uwe von Schamann 32 yard field goal,14,17
5,3.0,Dolphins,Tony Nathan 18 yard rush (Uwe von Schamann kick),14,24
6,4.0,Dolphins,David Overstreet 3 yard pass from Dan Marino,14,30
