,Quarter,Tm,Detail,NOR,GNB
0,1.0,Packers,Mike Mercer 35 yard field goal,0,3
1,1.0,Packers,Tom Brown 22 yard defensive fumble return (Mike Mercer kick),0,10
2,1.0,Packers,Donny Anderson 1 yard rush (Mike Mercer kick),0,17
3,2.0,Saints,Don McCall 11 yard rush (Charlie Durkee kick),7,17
4,2.0,Packers,Carroll Dale 47 yard pass from Bart Starr,7,23
5,4.0,Packers,Elijah Pitts 2 yard rush,7,29
