,Quarter,Tm,Detail,ATL,HOU
0,1.0,Oilers,Skip Butler 22 yard field goal,0,3
1,2.0,Falcons,John Gilliam 49 yard pass from Bubba Bean (Nick Mike-Mayer kick),7,3
2,2.0,Oilers,Ken Burrough 16 yard pass from John Hadl (Skip Butler kick),7,10
3,3.0,Falcons,Alfred Jenkins 27 yard pass from Scott Hunter (Nick Mike-Mayer kick),14,10
4,3.0,Oilers,Billy Johnson 40 yard pass from John Hadl (Skip Butler kick),14,17
5,3.0,Oilers,Skip Butler 32 yard field goal,14,20
