,Quarter,Tm,Detail,RAM,CRD
0,1.0,Rams,Kenny Washington 92 yard rush (Bob Waterfield kick),7,0
1,2.0,Cardinals,Elmer Angsman 1 yard rush (Pat Harder kick),7,7
2,2.0,Rams,Bob Waterfield 22 yard field goal,10,7
3,4.0,Cardinals,Elmer Angsman 21 yard pass from Paul Christman (Pat Harder kick),10,14
4,4.0,Cardinals,Pat Harder 31 yard field goal,10,17
