,Quarter,Tm,Detail,CHI,PIT
0,1.0,Bears,Willie Galimore 1 yard rush (Bob Jencks kick),7,0
1,2.0,Steelers,Dick Hoak 6 yard rush (Lou Michaels kick),7,7
2,2.0,Bears,Ronnie Bull 1 yard rush (Bob Jencks kick),14,7
3,2.0,Steelers,Roy Curry 31 yard pass from Ed Brown (Lou Michaels kick),14,14
4,4.0,Steelers,Lou Michaels 11 yard field goal,14,17
5,4.0,Bears,Roger LeClerc 18 yard field goal,17,17
