,Quarter,Tm,Detail,KAN,STL
0,1.0,Cardinals,Neil O'Donoghue 40 yard field goal,0,3
1,1.0,Cardinals,Ottis Anderson 2 yard rush (Neil O'Donoghue kick),0,10
2,3.0,Chiefs,Arnold Morgado 1 yard rush (Nick Lowery kick),7,10
3,3.0,Cardinals,Neil O'Donoghue 43 yard field goal,7,13
4,4.0,Chiefs,Arnold Morgado 2 yard pass from Steve Fuller (Nick Lowery kick),14,13
5,4.0,Chiefs,J.T. Smith 75 yard punt return (Nick Lowery kick),21,13
