,Quarter,Tm,Detail,SDG,KAN
0,2.0,Chiefs,Jan Stenerud 32 yard field goal,0,3
1,2.0,Chiefs,Henry Marshall 29 yard pass from Mike Livingston (Jan Stenerud kick),0,10
2,2.0,Chiefs,Larry Dorsey 6 yard pass from Mike Livingston (Jan Stenerud kick),0,17
3,3.0,Chiefs,Jan Stenerud 37 yard field goal,0,20
4,4.0,Chiefs,Jan Stenerud 35 yard field goal,0,23
