,Quarter,Time,Tm,Detail,NWE,ATL
0,1.0,,Falcons,Morten Andersen 34 yard field goal,0,3
1,1.0,,Patriots,Curtis Martin 1 yard rush (Matt Bahr kick),7,3
2,2.0,,Falcons,Morten Andersen 54 yard field goal,7,6
3,2.0,,Falcons,Craig Heyward 9 yard rush (Terance Mathis pass from Jeff George),7,14
4,2.0,,Falcons,Morten Andersen 31 yard field goal,7,17
5,2.0,,Patriots,Sam Gash 2 yard pass from Scott Zolak (Matt Bahr kick),14,17
6,3.0,,Patriots,Matt Bahr 27 yard field goal,17,17
7,4.0,,Falcons,Morten Andersen 32 yard field goal,17,20
8,4.0,,Falcons,Morten Andersen 33 yard field goal,17,23
9,4.0,,Falcons,Eric Metcalf 33 yard pass from Jeff George (Morten Andersen kick),17,30
