,Quarter,Time,Tm,Detail,MIA,SDG
0,2.0,9:21,Chargers,Nate Kaeding 25 yard field goal,0,3
1,2.0,3:26,Dolphins,Dan Carpenter 24 yard field goal,3,3
2,3.0,4:09,Dolphins,Dan Carpenter 23 yard field goal,6,3
3,3.0,2:02,Chargers,Philip Rivers 5 yard rush (Nate Kaeding kick),6,10
4,4.0,12:30,Chargers,Nate Kaeding 23 yard field goal,6,13
5,4.0,6:53,Chargers,Nate Kaeding 26 yard field goal,6,16
6,4.0,5:45,Chargers,Eric Weddle 31 yard interception return (Nate Kaeding kick),6,23
7,4.0,2:51,Dolphins,Ricky Williams 14 yard rush (Dan Carpenter kick),13,23
