,Quarter,Time,Tm,Detail,ATL,PIT
0,1.0,1:36,Steelers,Richard Huntley 13 yard pass from Kordell Stewart (Kris Brown kick),0,7
1,2.0,5:01,Steelers,Kris Brown 51 yard field goal,0,10
2,2.0,0:00,Steelers,Kris Brown 25 yard field goal,0,13
3,4.0,6:42,Falcons,Terance Mathis 5 yard pass from Chris Chandler (Morten Andersen kick),7,13
4,4.0,1:20,Falcons,"Safety, Miller stepped out of end zone",9,13
