,Quarter,Tm,Detail,BUF,SDG
0,1.0,Chargers,Chuck Muncie 9 yard rush (Rolf Benirschke kick),0,7
1,1.0,Bills,Joe Ferguson 3 yard rush (Nick Mike-Mayer kick),7,7
2,2.0,Chargers,Wes Chandler 17 yard pass from Dan Fouts (Rolf Benirschke kick),7,14
3,2.0,Bills,Roosevelt Leaks 9 yard rush (Nick Mike-Mayer kick),14,14
4,2.0,Chargers,Kellen Winslow 67 yard pass from Dan Fouts (Rolf Benirschke kick),14,21
5,3.0,Bills,Roosevelt Leaks 1 yard rush (Nick Mike-Mayer kick),21,21
6,3.0,Chargers,Rolf Benirschke 29 yard field goal,21,24
7,3.0,Bills,Joe Cribbs 1 yard rush (Nick Mike-Mayer kick),28,24
8,4.0,Chargers,Rolf Benirschke 27 yard field goal,28,27
