,Quarter,Tm,Detail,NOR,DAL
0,1.0,Cowboys,Daryl Johnston 1 yard pass from Steve Beuerlein (Ken Willis kick),0,7
1,2.0,Cowboys,Ken Willis 50 yard field goal,0,10
2,2.0,Saints,Eric Martin 8 yard pass from Steve Walsh (Morten Andersen kick),7,10
3,3.0,Cowboys,Ken Willis 41 yard field goal,7,13
4,3.0,Saints,Gill Fenerty 4 yard pass from Steve Walsh (Morten Andersen kick),14,13
5,4.0,Cowboys,Ken Willis 40 yard field goal,14,16
6,4.0,Cowboys,Tommie Agee 4 yard rush (Ken Willis kick),14,23
