,Quarter,Tm,Detail,PRT,GNB
0,1,Packers,Hank Bruder 1 yard rush (Roger Grove kick),0,7
1,3,Packers,Clarke Hinkle 30 yard field goal,0,10
2,4,Packers,Buckets Goldenberg unknown yard rush (Johnny Blood pass from Arnie Herber ),0,17
