,Quarter,Tm,Detail,NYG,WAS
0,1.0,Giants,Ward Cuff 22 yard pass from Arnie Herber (Ken Strong kick),7,0
1,1.0,Giants,Frank Liebel 11 yard pass from Arnie Herber (Ken Strong kick),14,0
2,3.0,Giants,Frank Liebel 44 yard pass from Arnie Herber (Ken Strong kick),21,0
3,4.0,Giants,Ward Cuff 32 yard field goal,24,0
4,4.0,Giants,Chuck Avedisian 48 yard interception return (Ken Strong kick),31,0
