,Quarter,Tm,Detail,CRD,MIN
0,3,Red Jackets,Oran Pape 78 yard rush (Art Pharmer kick),0,7
1,4,Cardinals,Bill Boyd 5 yard rush (Ernie Nevers kick),7,7
