,Quarter,Tm,Detail,SFO,WAS
0,1.0,Redskins,Larry Brown 18 yard pass from Sonny Jurgensen (Curt Knight kick),0,7
1,2.0,49ers,Bruce Gossett 9 yard field goal,3,7
2,2.0,49ers,Bruce Gossett 27 yard field goal,6,7
3,2.0,Redskins,Curt Knight 42 yard field goal,6,10
4,2.0,49ers,Bruce Gossett 38 yard field goal,9,10
5,3.0,Redskins,Charlie Harraway 25 yard pass from Billy Kilmer (Curt Knight kick),9,17
6,3.0,Redskins,Curt Knight 32 yard field goal,9,20
7,3.0,Redskins,Curt Knight 24 yard field goal,9,23
8,4.0,Redskins,Curt Knight 41 yard field goal,9,26
9,4.0,Redskins,Mike Hancock 2 yard pass from Billy Kilmer (Curt Knight kick),9,33
