,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Allen Rice 3 yard rush (Chuck Nelson kick),0,7
1,2.0,Vikings,Alfred Anderson 1 yard rush,0,13
2,2.0,Lions,Eddie Murray 48 yard field goal,3,13
3,2.0,Lions,George Jamison 52 yard interception return (Eddie Murray kick),10,13
4,3.0,Vikings,Steve Jordan 16 yard pass from Wade Wilson (Chuck Nelson kick),10,20
5,3.0,Lions,Pete Mandley 8 yard pass from Rusty Hilger (Eddie Murray kick),17,20
6,3.0,Vikings,Chuck Nelson 18 yard field goal,17,23
7,4.0,Vikings,Rick Fenney 20 yard rush (Chuck Nelson kick),17,30
8,4.0,Vikings,Jim Gustafson 10 yard pass from Wade Wilson (Chuck Nelson kick),17,37
9,4.0,Vikings,Allen Rice 3 yard rush (Chuck Nelson kick),17,44
