,Quarter,Time,Tm,Detail,HOU,CLE
0,2.0,14:07,Browns,William Green 1 yard rush (Phil Dawson kick),0,7
1,2.0,11:49,Texans,Corey Bradford 37 yard pass from David Carr (Kris Brown kick),7,7
2,3.0,10:26,Browns,Phil Dawson 35 yard field goal,7,10
3,3.0,8:44,Texans,Corey Bradford 39 yard pass from Jabar Gaffney (Kris Brown kick),14,10
4,3.0,8:31,Browns,Andre' Davis 95 yard kickoff return (Phil Dawson kick),14,17
5,3.0,5:44,Texans,Kris Brown 47 yard field goal,17,17
6,3.0,2:15,Browns,Quincy Morgan 25 yard pass from Tim Couch (Phil Dawson kick),17,24
7,4.0,5:20,Browns,Phil Dawson 43 yard field goal,17,27
8,4.0,1:56,Browns,Jamel White 2 yard rush (Phil Dawson kick),17,34
