,Quarter,Tm,Detail,DAY,GNB
0,1,Packers,Harry O'Boyle 26 yard field goal,0,3
1,2,Packers,Verne Lewellen 3 yard rush (Harry O'Boyle kick),0,10
2,4,Packers,Harry O'Boyle 7 yard rush (Harry O'Boyle kick),0,17
