,Quarter,Tm,Detail,CHI,CRD
0,1,Bears,Willie Galimore 67 yard rush (George Blanda kick),7,0
1,2,Bears,Jim Dooley 5 yard pass from Ed Brown (George Blanda kick),14,0
2,4,Cardinals,Gern Nagler 10 yard pass from Lamar McHan,14,6
