,Quarter,Time,Tm,Detail,JAX,TEN
0,2.0,9:53,Titans,Gary Anderson 26 yard field goal,0,3
1,2.0,3:20,Titans,Gary Anderson 40 yard field goal,0,6
2,3.0,3:15,Jaguars,George Wrighster 7 yard pass from Byron Leftwich (Josh Scobee kick),7,6
3,4.0,5:37,Titans,Chris Brown 26 yard rush (pass failed),7,12
4,4.0,0:09,Jaguars,Fred Taylor 1 yard rush (Reggie Williams pass from Byron Leftwich),15,12
