,Quarter,Tm,Detail,SDG,ATL
0,2.0,Chargers,Vince Abbott 23 yard field goal,3,0
1,4.0,Chargers,Barry Redden 5 yard rush (Vince Abbott kick),10,0
2,4.0,Falcons,Michael Haynes 22 yard pass from Chris Miller (Greg Davis kick),10,7
