,Quarter,Tm,Detail,SFO,GNB
0,1.0,Packers,Paul Ott Carruth 1 yard rush (Al Del Greco kick),0,7
1,2.0,Packers,Mark Lewis 3 yard pass from Randy Wright (Al Del Greco kick),0,14
2,2.0,49ers,Jerry Rice 4 yard pass from Mike Moroski (Ray Wersching kick),7,14
3,3.0,49ers,Mike Moroski 9 yard rush (Ray Wersching kick),14,14
4,4.0,49ers,Ronnie Lott 55 yard interception return (Ray Wersching kick),21,14
5,4.0,Packers,Al Del Greco 22 yard field goal,21,17
6,4.0,49ers,Ray Wersching 27 yard field goal,24,17
7,4.0,49ers,Tory Nixon 88 yard interception return (Ray Wersching kick),31,17
