,Quarter,Tm,Detail,RAM,RAI
0,1.0,Rams,Robert Delpino 4 yard pass from Jim Everett (Tony Zendejas kick),7,0
1,1.0,Raiders,Willie Gault 9 yard pass from Jay Schroeder (Jeff Jaeger kick),7,7
2,2.0,Rams,Tony Zendejas 37 yard field goal,10,7
3,3.0,Raiders,Jeff Jaeger 35 yard field goal,10,10
4,3.0,Rams,Vernon Turner 19 yard pass from Jim Everett (Tony Zendejas kick),17,10
5,4.0,Raiders,Nick Bell 1 yard rush (Jeff Jaeger kick),17,17
6,4.0,Raiders,Jeff Jaeger 34 yard field goal,17,20
