,Quarter,Tm,Detail,NWE,WAS
0,1.0,Patriots,John Smith 25 yard field goal,3,0
1,1.0,Patriots,John Smith 22 yard field goal,6,0
2,1.0,Redskins,Joe Washington 13 yard pass from Joe Theismann (Mark Moseley kick),6,7
3,2.0,Patriots,Tony Collins 6 yard rush,12,7
4,2.0,Patriots,John Smith 46 yard field goal,15,7
5,2.0,Redskins,Mike Nelms 75 yard punt return (Mark Moseley kick),15,14
6,3.0,Redskins,Mark Moseley 34 yard field goal,15,17
7,3.0,Redskins,Joe Theismann 1 yard rush (Mark Moseley kick),15,24
8,4.0,Patriots,Sam Cunningham 4 yard rush (John Smith kick),22,24
