,Quarter,Tm,Detail,PHI,DAL
0,1.0,Eagles,Tony Franklin 50 yard field goal,3,0
1,2.0,Eagles,Booker Russell 1 yard rush (Tony Franklin kick),10,0
2,2.0,Cowboys,Tony Hill 8 yard pass from Danny White (Rafael Septien kick),10,7
3,3.0,Cowboys,Butch Johnson 36 yard pass from Danny White (Rafael Septien kick),10,14
4,4.0,Cowboys,Ron Springs 12 yard rush (Rafael Septien kick),10,21
