,Quarter,Tm,Detail,DET,NYG
0,1.0,Lions,Amos Marsh 35 yard pass from Karl Sweetan (Garo Yepremian kick),7,0
1,2.0,Lions,Bill Malinchak 9 yard pass from Karl Sweetan (Garo Yepremian kick),14,0
2,2.0,Lions,Gail Cogdill 52 yard pass from Karl Sweetan (Garo Yepremian kick),21,0
3,3.0,Lions,"Safety, Maher blocked punt in end zone",23,0
4,4.0,Giants,Aaron Thomas 27 yard pass from Earl Morrall (Pete Gogolak kick),23,7
5,4.0,Lions,Tom Watkins 4 yard rush (Garo Yepremian kick),30,7
