,Quarter,Time,Tm,Detail,CHI,WAS
0,1.0,9:53,Bears,Ha Ha Clinton-Dix 37 yard interception return (Eddy Pineiro kick),7,0
1,2.0,7:06,Bears,Taylor Gabriel 3 yard pass from Mitchell Trubisky (Eddy Pineiro kick),14,0
2,2.0,5:46,Bears,Taylor Gabriel 1 yard pass from Mitchell Trubisky (Eddy Pineiro kick),21,0
3,2.0,0:49,Bears,Taylor Gabriel 36 yard pass from Mitchell Trubisky (Eddy Pineiro kick),28,0
4,2.0,0:05,Redskins,Dustin Hopkins 35 yard field goal,28,3
5,3.0,6:44,Redskins,Terry McLaurin 15 yard pass from Case Keenum (pass failed),28,9
6,4.0,13:15,Redskins,Paul Richardson 2 yard pass from Case Keenum (pass failed),28,15
7,4.0,1:54,Bears,Eddy Pineiro 38 yard field goal,31,15
