,Quarter,Tm,Detail,RAM,KAN
0,1.0,Rams,Pat Curran 2 yard pass from John Hadl,6,0
1,2.0,Rams,Lawrence McCutcheon 31 yard pass from John Hadl (David Ray kick),13,0
2,2.0,Rams,Steve Preece 11 yard rush (David Ray kick),20,0
3,3.0,Rams,David Ray 27 yard field goal,23,0
4,4.0,Chiefs,Elmo Wright 16 yard pass from Pete Beathard (Jan Stenerud kick),23,7
5,4.0,Chiefs,Gary Butler 6 yard pass from Pete Beathard,23,13
