,Quarter,Tm,Detail,NYG,DET
0,1.0,Giants,Ali Haji-Sheikh 27 yard field goal,3,0
1,1.0,Lions,Billy Sims 2 yard rush (Eddie Murray kick),3,7
2,2.0,Lions,Eddie Murray 35 yard field goal,3,10
3,2.0,Lions,"Safety, Fanning tackled Umphrey in end zone",3,12
4,2.0,Giants,Ali Haji-Sheikh 56 yard field goal,6,12
5,3.0,Giants,Ali Haji-Sheikh 35 yard field goal,9,12
6,4.0,Lions,Eddie Murray 32 yard field goal,9,15
