,Quarter,Tm,Detail,CLE,MIA
0,1.0,Dolphins,Charlie Babb 5 yard blocked punt return (Garo Yepremian kick),0,7
1,1.0,Dolphins,Garo Yepremian 40 yard field goal,0,10
2,3.0,Browns,Mike Phipps 5 yard rush (Don Cockroft kick),7,10
3,4.0,Dolphins,Garo Yepremian 46 yard field goal,7,13
4,4.0,Browns,Fair Hooker 27 yard pass from Mike Phipps (Don Cockroft kick),14,13
5,4.0,Dolphins,Jim Kiick 8 yard rush (Garo Yepremian kick),14,20
