,Quarter,Tm,Detail,SFO,ATL
0,2.0,49ers,Ken Willard 3 yard rush (Bruce Gossett kick),7,0
1,2.0,Falcons,Cannonball Butler 3 yard pass from Bob Berry (Ken Vinyard kick),7,7
2,3.0,49ers,Bob Windsor 1 yard pass from John Brodie (Bruce Gossett kick),14,7
3,3.0,49ers,Bruce Gossett 27 yard field goal,17,7
4,4.0,Falcons,Jim Mitchell 9 yard pass from Bob Berry (Ken Vinyard kick),17,14
5,4.0,49ers,Bruce Gossett 43 yard field goal,20,14
6,4.0,Falcons,Gail Cogdill 7 yard pass from Bob Berry (Ken Vinyard kick),20,21
