,Quarter,Tm,Detail,TOR,BOS
0,1.0,Bulldogs,Tony Latone unknown yard rush,0,6
1,2.0,Bulldogs,Tony Latone unknown yard rush (Cy Wentworth kick),0,13
2,2.0,Tornadoes,George Pease unknown yard pass from Frank Kirkleski,6,13
3,3.0,Tornadoes,Johnny Tomaini unknown yard pass from George Pease (Johnny Tomaini pass from George Pease),13,13
4,4.0,Tornadoes,Frank Kirkleski 10 yard pass from George Pease,19,13
