,Quarter,Tm,Detail,PIT,PHI
0,1.0,Eagles,Eggs Manske 1 yard pass from Red Kirkman (Red Kirkman kick),0,7
1,1.0,Pirates,Cy Casper 1 yard rush (Armand Niccolai kick),7,7
2,1.0,Pirates,Dave Ribble blocked punt recovery in end zone (Armand Niccolai kick),14,7
3,3.0,Pirates,Armand Niccolai 47 yard field goal,17,7
