,Quarter,Time,Tm,Detail,PHI,JAX
0,1.0,8:50,Jaguars,Hayden Epstein 34 yard field goal,0,3
1,2.0,14:50,Jaguars,Hayden Epstein 31 yard field goal,0,6
2,2.0,3:41,Eagles,Chad Lewis 4 yard pass from Donovan McNabb (David Akers kick),7,6
3,2.0,1:15,Jaguars,Kyle Brady 2 yard pass from Mark Brunell (Fred Taylor pass from Mark Brunell),7,14
4,3.0,7:49,Eagles,David Akers 31 yard field goal,10,14
5,4.0,10:37,Jaguars,Stacey Mack 1 yard rush (Hayden Epstein kick),10,21
6,4.0,6:23,Jaguars,Bobby Shaw 69 yard punt return (Hayden Epstein kick),10,28
7,4.0,2:48,Eagles,Donovan McNabb 4 yard rush (Duce Staley run),18,28
8,4.0,0:00,Eagles,Antonio Freeman 8 yard pass from Donovan McNabb (David Akers kick),25,28
