,Quarter,Tm,Detail,RAI,WAS
0,1.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),0,7
1,2.0,Redskins,Mark Moseley 28 yard field goal,0,10
2,2.0,Raiders,Cliff Branch 99 yard pass from Jim Plunkett (Chris Bahr kick),7,10
3,2.0,Redskins,Joe Washington 5 yard pass from Joe Theismann (Mark Moseley kick),7,17
4,3.0,Redskins,Mark Moseley 29 yard field goal,7,20
5,3.0,Raiders,Calvin Muhammad 35 yard pass from Jim Plunkett (Chris Bahr kick),14,20
6,3.0,Raiders,Calvin Muhammad 22 yard pass from Jim Plunkett (Chris Bahr kick),21,20
7,4.0,Raiders,Todd Christensen 2 yard pass from Jim Plunkett (Chris Bahr kick),28,20
8,4.0,Raiders,Greg Pruitt 97 yard punt return (Chris Bahr kick),35,20
9,4.0,Redskins,Charlie Brown 11 yard pass from Joe Theismann (Mark Moseley kick),35,27
10,4.0,Redskins,Mark Moseley 34 yard field goal,35,30
11,4.0,Redskins,Joe Washington 6 yard pass from Joe Theismann (Mark Moseley kick),35,37
