,Quarter,Tm,Detail,NOR,PIT
0,1.0,Saints,Charlie Durkee 23 yard field goal,3,0
1,2.0,Saints,Ernie Wheelwright 1 yard rush (Charlie Durkee kick),10,0
2,2.0,Steelers,Earl Gros 2 yard rush,10,6
3,3.0,Steelers,Dick Hoak 77 yard rush,10,12
4,3.0,Saints,Charlie Durkee 37 yard field goal,13,12
5,4.0,Saints,Charlie Durkee 31 yard field goal,16,12
