,Quarter,Tm,Detail,NYG,DAL
0,1.0,Cowboys,Lin Elliott 45 yard field goal,0,3
1,2.0,Cowboys,Lin Elliott 33 yard field goal,0,6
2,2.0,Cowboys,Lin Elliott 53 yard field goal,0,9
3,2.0,Giants,Matt Bahr 42 yard field goal,3,9
4,3.0,Cowboys,Emmitt Smith 26 yard pass from Troy Aikman (Lin Elliott kick),3,16
5,3.0,Cowboys,Emmitt Smith 68 yard rush (Lin Elliott kick),3,23
6,4.0,Cowboys,Alvin Harper 4 yard pass from Troy Aikman (Lin Elliott kick),3,30
