,Quarter,Tm,Detail,SFO,ATL
0,3.0,49ers,Wilbur Jackson 2 yard rush (Ray Wersching kick),7,0
1,3.0,49ers,Ray Wersching 43 yard field goal,10,0
2,4.0,Falcons,Fred Steinfort 24 yard field goal,10,3
