,Quarter,Tm,Detail,BAL,NWE
0,1.0,Patriots,Reggie Rucker 69 yard pass from Jim Plunkett (John Smith kick),0,7
1,1.0,Patriots,Darryl Stingley 23 yard rush (John Smith kick),0,14
2,2.0,Patriots,Mack Herron 5 yard rush (John Smith kick),0,21
3,2.0,Colts,Toni Linhart 27 yard field goal,3,21
4,3.0,Patriots,Sam Cunningham 4 yard pass from Jim Plunkett (John Smith kick),3,28
5,3.0,Patriots,Reggie Rucker 16 yard pass from Jim Plunkett (John Smith kick),3,35
6,4.0,Patriots,John Tarver 7 yard rush (John Smith kick),3,42
