,Quarter,Tm,Detail,HOU,NWE
0,1.0,Oilers,Earl Campbell 1 yard rush (Florian Kempf kick),7,0
1,1.0,Patriots,Stanley Morgan 62 yard pass from Steve Grogan (Dan Miller kick),7,7
2,1.0,Patriots,Stanley Morgan 24 yard pass from Steve Grogan (Dan Miller kick),7,14
3,2.0,Patriots,Dan Miller 23 yard field goal,7,17
4,2.0,Patriots,Dan Miller 25 yard field goal,7,20
5,4.0,Patriots,"Safety, Crump tackled Manning in end zone",7,22
6,4.0,Patriots,Tony Collins 14 yard pass from Steve Grogan (Dan Miller kick),7,29
7,4.0,Oilers,Dave Casper 14 yard pass from Archie Manning (Florian Kempf kick),14,29
8,4.0,Oilers,Mike Renfro 8 yard pass from Archie Manning (Florian Kempf kick),21,29
