,Quarter,Time,Tm,Detail,HOU,PHI
0,1.0,10:13,Texans,Corey Bradford 23 yard pass from David Carr (Kris Brown kick),7,0
1,1.0,3:53,Eagles,David Akers 25 yard field goal,7,3
2,2.0,13:28,Eagles,Duce Staley 1 yard rush (David Akers kick),7,10
3,2.0,5:13,Eagles,Duce Staley 1 yard rush (David Akers kick),7,17
4,2.0,2:42,Eagles,David Akers 41 yard field goal,7,20
5,3.0,11:33,Eagles,Brian Dawkins 57 yard pass from Brian Mitchell (Chad Lewis pass from Donovan McNabb),7,28
6,3.0,9:07,Texans,Corey Bradford 29 yard pass from David Carr (Kris Brown kick),14,28
7,3.0,2:33,Texans,Kris Brown 48 yard field goal,17,28
8,4.0,4:52,Eagles,James Thrash 38 yard pass from Donovan McNabb (David Akers kick),17,35
