,Quarter,Tm,Detail,PIT,BUF
0,2.0,Bills,Roosevelt Leaks 1 yard rush (Efren Herrera kick),0,7
1,2.0,Bills,Efren Herrera 34 yard field goal,0,10
2,3.0,Bills,Efren Herrera 19 yard field goal,0,13
