,Quarter,Tm,Detail,BUF,KAN
0,1.0,Chiefs,Stephone Paige 12 yard pass from Bill Kenney (Nick Lowery kick),0,7
1,2.0,Bills,Scott Norwood 47 yard field goal,3,7
2,2.0,Bills,Andre Reed 9 yard pass from Jim Kelly (Scott Norwood kick),10,7
3,3.0,Bills,Andre Reed 10 yard pass from Jim Kelly (Scott Norwood kick),17,7
4,4.0,Chiefs,Herman Heard 1 yard rush (Nick Lowery kick),17,14
