,Quarter,Tm,Detail,NYG,DET
0,1.0,Wolverines,Rex Thomas unknown yard rush (Benny Friedman kick),0,7
1,1.0,Wolverines,Tiny Feather unknown yard rush (Benny Friedman kick),0,14
2,4.0,Wolverines,Benny Friedman 58 yard rush (Benny Friedman kick),0,21
3,4.0,Wolverines,Pete Jackson unknown yard rush (Benny Friedman kick),0,28
