,Quarter,Tm,Detail,NYJ,RAI
0,2.0,Jets,Blair Thomas 6 yard rush (Cary Blanchard kick),7,0
1,2.0,Jets,Brian Washington 62 yard interception return (Cary Blanchard kick),14,0
2,2.0,Jets,Cary Blanchard 25 yard field goal,17,0
3,2.0,Raiders,James Jett 42 yard pass from Vince Evans (Jeff Jaeger kick),17,7
4,3.0,Raiders,Alexander Wright 68 yard pass from Vince Evans (Jeff Jaeger kick),17,14
5,3.0,Raiders,Jeff Jaeger 42 yard field goal,17,17
6,4.0,Jets,Cary Blanchard 20 yard field goal,20,17
7,4.0,Raiders,Nick Bell 1 yard rush (Jeff Jaeger kick),20,24
