,Quarter,Time,Tm,Detail,KAN,CIN
0,2.0,1:38,Bengals,Shayne Graham 29 yard field goal,0,3
1,2.0,0:05,Chiefs,Ryan Succop 30 yard field goal,3,3
2,3.0,9:10,Bengals,Laveranues Coles 10 yard pass from Carson Palmer (Shayne Graham kick),3,10
3,4.0,14:52,Chiefs,Tim Castille 20 yard pass from Matt Cassel (Ryan Succop kick),10,10
4,4.0,2:03,Bengals,Chad Johnson 6 yard pass from Carson Palmer (Shayne Graham kick),10,17
