,Quarter,Tm,Detail,MIN,BOS
0,1.0,Vikings,John Henderson 50 yard pass from Bob Lee (Fred Cox kick),7,0
1,1.0,Vikings,Dave Osborn 1 yard rush (Fred Cox kick),14,0
2,2.0,Patriots,Jim Nance 5 yard rush (Charlie Gogolak kick),14,7
3,2.0,Vikings,Gene Washington 21 yard pass from Bob Lee (Fred Cox kick),21,7
4,3.0,Vikings,Bob Lee 1 yard rush (Fred Cox kick),28,7
5,3.0,Vikings,Clint Jones 5 yard rush (Fred Cox kick),35,7
6,3.0,Patriots,Carl Garrett 3 yard rush (Charlie Gogolak kick),35,14
