,Quarter,Time,Tm,Detail,SFO,KAN
0,1.0,8:02,49ers,Robbie Gould 38 yard field goal,3,0
1,1.0,0:36,Chiefs,Patrick Mahomes 1 yard rush (Harrison Butker kick),3,7
2,2.0,9:36,Chiefs,Harrison Butker 31 yard field goal,3,10
3,2.0,5:13,49ers,Kyle Juszczyk 15 yard pass from Jimmy Garoppolo (Robbie Gould kick),10,10
4,3.0,9:34,49ers,Robbie Gould 42 yard field goal,13,10
5,3.0,2:40,49ers,Raheem Mostert 1 yard rush (Robbie Gould kick),20,10
6,4.0,6:17,Chiefs,Travis Kelce 1 yard pass from Patrick Mahomes (Harrison Butker kick),20,17
7,4.0,2:50,Chiefs,Damien Williams 5 yard pass from Patrick Mahomes (Harrison Butker kick),20,24
8,4.0,1:20,Chiefs,Damien Williams 38 yard rush (Harrison Butker kick),20,31
