,Quarter,Tm,Detail,CHI,CRD
0,2.0,Bears,George Blanda 39 yard field goal,3,0
1,2.0,Bears,Fred Morrison 1 yard rush (Wilford White kick),10,0
2,2.0,Cardinals,Ollie Matson 100 yard kickoff return (Joe Geri kick),10,7
3,4.0,Cardinals,Ollie Matson 34 yard fumble return (Joe Geri kick),10,14
4,4.0,Cardinals,Charley Trippi 59 yard rush (Joe Geri kick),10,21
