,Quarter,Time,Tm,Detail,ATL,CAR
0,1,1:07,Falcons,Jay Feely 39 yard field goal,3,0
1,2,2:09,Falcons,Bob Christian 4 yard rush (Jay Feely kick),10,0
2,4,7:12,Panthers,Chris Weinke 12 yard rush (John Kasay kick),10,7
