,Quarter,Tm,Detail,KAN,WAS
0,1.0,Chiefs,Nick Lowery 58 yard field goal,3,0
1,2.0,Chiefs,Nick Lowery 21 yard field goal,6,0
2,2.0,Chiefs,Nick Lowery 32 yard field goal,9,0
3,2.0,Chiefs,Nick Lowery 22 yard field goal,12,0
4,3.0,Redskins,Mark Moseley 35 yard field goal,12,3
5,3.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),12,10
6,3.0,Redskins,Don Warren 12 yard pass from Joe Theismann (Mark Moseley kick),12,17
7,4.0,Redskins,Clint Didier 39 yard pass from Joe Theismann (Mark Moseley kick),12,24
8,4.0,Redskins,Mark Moseley 34 yard field goal,12,27
