,Quarter,Tm,Detail,PIT,GNB
0,2.0,Steelers,Val Jansante 47 yard pass from Joe Geri (Joe Geri kick),7,0
1,3.0,Steelers,Jerry Nuzum 64 yard rush (Joe Geri kick),14,0
2,3.0,Packers,Jug Girard 1 yard rush (Ted Fritsch kick),14,7
3,4.0,Steelers,"Safety, Girard punt blocked out of end zone by Samuelson",16,7
4,4.0,Steelers,Jerry Nuzum 8 yard pass from Joe Geri (Joe Geri kick),23,7
5,4.0,Steelers,Bob Gage 3 yard rush (Joe Geri kick),30,7
