,Quarter,Tm,Detail,ATL,SFO
0,1.0,Falcons,Norm Johnson 42 yard field goal,3,0
1,1.0,49ers,Mike Cofer 46 yard field goal,3,3
2,2.0,Falcons,Andre Rison 12 yard pass from Bobby Hebert (Norm Johnson kick),10,3
3,2.0,49ers,Jamie Williams 9 yard pass from Steve Young,10,9
4,2.0,Falcons,Norm Johnson 38 yard field goal,13,9
5,3.0,49ers,Brent Jones 20 yard pass from Steve Young (Mike Cofer kick),13,16
6,3.0,Falcons,Andre Rison 3 yard pass from Bobby Hebert (Norm Johnson kick),20,16
7,3.0,49ers,Ricky Watters 2 yard rush (Mike Cofer kick),20,23
8,4.0,49ers,Nate Singleton 6 yard pass from Steve Young (Mike Cofer kick),20,30
9,4.0,Falcons,Norm Johnson 27 yard field goal,23,30
10,4.0,49ers,Jerry Rice 43 yard rush (Mike Cofer kick),23,37
11,4.0,Falcons,Andre Rison 16 yard pass from Bobby Hebert (Norm Johnson kick),30,37
