,Quarter,Tm,Detail,TAM,DET
0,1.0,Buccaneers,Bill Capece 40 yard field goal,3,0
1,2.0,Lions,Eric Hipple 9 yard rush (Eddie Murray kick),3,7
2,2.0,Buccaneers,Kevin House 84 yard pass from Doug Williams (Bill Capece kick),10,7
3,3.0,Lions,Eddie Murray 47 yard field goal,10,10
4,4.0,Buccaneers,Bill Capece 30 yard field goal,13,10
5,4.0,Buccaneers,David Logan 21 yard defensive fumble return (Bill Capece kick),20,10
6,4.0,Lions,Leonard Thompson 8 yard pass from Eric Hipple (Eddie Murray kick),20,17
