,Quarter,Tm,Detail,NOR,MIA
0,2.0,Saints,Benny Ricardo 34 yard field goal,3,0
1,2.0,Saints,Benny Ricardo 36 yard field goal,6,0
2,2.0,Saints,Benny Ricardo 39 yard field goal,9,0
3,3.0,Saints,Ike Harris 25 yard pass from Archie Manning (Benny Ricardo kick),16,0
4,4.0,Dolphins,Steve Howell 1 yard rush (Uwe von Schamann kick),16,7
5,4.0,Dolphins,Ronnie Lee 5 yard pass from Bob Griese (Uwe von Schamann kick),16,14
6,4.0,Dolphins,Delvin Williams 6 yard rush (Uwe von Schamann kick),16,21
