,Quarter,Tm,Detail,SFO,RAI
0,1.0,49ers,Roger Craig 20 yard pass from Joe Montana (Ray Wersching kick),7,0
1,1.0,Raiders,Chris Bahr 24 yard field goal,7,3
2,1.0,49ers,Ray Wersching 22 yard field goal,10,3
3,2.0,49ers,Ray Wersching 26 yard field goal,13,3
4,3.0,49ers,Dwight Clark 14 yard pass from Joe Montana (Ray Wersching kick),20,3
5,3.0,49ers,Milt McColl 28 yard defensive fumble return (Ray Wersching kick),27,3
6,4.0,Raiders,Marc Wilson 1 yard rush (Chris Bahr kick),27,10
7,4.0,49ers,Bill Ring 9 yard rush (Ray Wersching kick),34,10
