,Quarter,Tm,Detail,CRD,PRT
0,2.0,Cardinals,Ernie Nevers 26 yard field goal,3,0
1,3.0,Spartans,Tony Holm 18 yard pass from Glenn Presnell (Glenn Presnell kick),3,7
2,3.0,Spartans,Glenn Presnell 55 yard punt return,3,13
