,Quarter,Tm,Detail,NYJ,CHI
0,1,Bears,Kevin Butler 33 yard field goal,0,3
1,1,Jets,Pat Leahy 19 yard field goal,3,3
2,2,Jets,Pat Leahy 34 yard field goal,6,3
3,3,Jets,Brad Baxter 1 yard rush (Pat Leahy kick),13,3
4,4,Bears,Kevin Butler 44 yard field goal,13,6
5,4,Bears,Neal Anderson 5 yard pass from Jim Harbaugh (Kevin Butler kick),13,13
6,OT,Bears,Jim Harbaugh 1 yard rush,13,19
