,Quarter,Time,Tm,Detail,DEN,SDG
0,1,6:44,Broncos,Jason Elam 54 yard field goal,3,0
1,1,0:20,Broncos,Clinton Portis 43 yard rush (Jason Elam kick),10,0
2,2,14:56,Chargers,LaDainian Tomlinson 3 yard rush (Steve Christie kick),10,7
3,2,9:26,Chargers,LaDainian Tomlinson 1 yard rush (Steve Christie kick),10,14
4,2,4:38,Chargers,LaDainian Tomlinson 5 yard rush (Steve Christie kick),10,21
5,2,3:08,Broncos,Clinton Portis 8 yard rush (Jason Elam kick),17,21
6,2,0:07,Chargers,Steve Christie 20 yard field goal,17,24
7,3,9:39,Broncos,Reuben Droughns 22 yard pass from Steve Beuerlein (Jason Elam kick),24,24
8,4,13:12,Chargers,Steve Christie 40 yard field goal,24,27
9,4,1:39,Broncos,Jason Elam 24 yard field goal,27,27
10,OT,3:01,Chargers,Steve Christie 27 yard field goal,27,30
