,Quarter,Tm,Detail,PRT,CHI
0,4.0,Bears,Red Grange 2 yard pass from Bronko Nagurski (Tiny Engebretsen kick),0,7
1,4.0,Bears,"Safety, Wilson tackled in end zone",0,9
