,Quarter,Tm,Detail,SEA,NYJ
0,1.0,Seahawks,Efren Herrera 48 yard field goal,3,0
1,2.0,Jets,Mickey Shuler 4 yard pass from Richard Todd (Pat Leahy kick),3,7
2,3.0,Jets,Scott Dierking 20 yard pass from Richard Todd (Pat Leahy kick),3,14
3,3.0,Seahawks,Jessie Green 32 yard blocked punt return (Efren Herrera kick),10,14
4,4.0,Jets,Pat Leahy 22 yard field goal,10,17
5,4.0,Seahawks,Efren Herrera 23 yard field goal,13,17
6,4.0,Seahawks,Jim Jodat 2 yard rush (Efren Herrera kick),20,17
7,4.0,Seahawks,Jim Jodat 1 yard rush (Efren Herrera kick),27,17
