,Quarter,Tm,Detail,PHI,CRD
0,1.0,Eagles,Billy Ray Barnes 1 yard rush (Bobby Walston kick),7,0
1,2.0,Cardinals,Joe Childress 12 yard pass from M.C. Reynolds (Bobby Joe Conrad kick),7,7
2,3.0,Cardinals,Ollie Matson 55 yard rush (Bobby Joe Conrad kick),7,14
3,4.0,Eagles,Pete Retzlaff 2 yard pass from Norm Van Brocklin (Bobby Walston kick),14,14
4,4.0,Cardinals,Woodley Lewis 16 yard pass from M.C. Reynolds (Bobby Joe Conrad kick),14,21
5,4.0,Eagles,Dick Bielski 1 yard pass from Norm Van Brocklin (Bobby Walston kick),21,21
