,Quarter,Tm,Detail,DEN,TAM
0,1.0,Broncos,Riley Odoms 12 yard pass from Craig Morton (Fred Steinfort kick),7,0
1,3.0,Buccaneers,Cedric Brown 40 yard interception return (Bill Capece kick),7,7
2,3.0,Broncos,Larry Canada 1 yard rush (Fred Steinfort kick),14,7
3,4.0,Broncos,Larry Canada 3 yard pass from Steve DeBerg (Fred Steinfort kick),21,7
4,4.0,Broncos,Fred Steinfort 31 yard field goal,24,7
